# escritura	id  —  ids de las palabras importadas de las listas JLPT.
#
# Este fichero existe porque los ids importados salían de un contador y
# cambiaban en cuanto cambiaba qué se importa. Y como las unidades y las
# correcciones van POR ID, una palabra podía quedarse con la ficha de otra
# (102817 pasó de よろしく a 塵 al retocar una glosa inglesa).
#
# Es de sólo añadir: una línea que ya está no se toca nunca.
escritura	id
演ずる	100647
沿線	100648
縁談	100649
遠方	100650
円満	100651
追い込む	100652
追い出す	100653
於いて	100654
老いる	100655
応急	100656
黄金	100657
往診	100658
応募	100659
おおい (かん)	100660
大方	100661
大柄	100662
おおげさ	100663
大筋	100664
大空	100665
オートマチック	100666
大幅	100667
おおまかな	100668
大水	100669
公	100670
犯す	100671
侵す	100672
臆病	100673
遅らす	100674
厳か	100675
行い	100676
おごる (ゆうしょくを～)	100677
収まる	100678
治まる	100680
お産	100681
押し切る	100682
押し込む	100683
惜しむ	100684
押し寄せる	100685
雄	100686
御世辞	100687
襲う	100688
遅くとも	100689
恐れ	100690
恐れ入る	100691
おだてる	100692
落ち込む	100693
落ち着き	100694
落葉	100695
乙	100696
お使い	100697
おっかない	100698
お手上げ	100699
おどおど	100700
脅す	100701
訪れる	100702
お供	100703
衰える	100704
同い年	100705
自ずから	100706
怯える	100707
おびただしい	100708
帯びる	100710
お袋	100711
覚え	100712
おまけ	100713
お宮	100714
おむつ	100715
思い付き	100716
趣	100717
赴く	100718
重んじる	100719
重んずる	100720
親父	100721
及び	100722
及ぶ	100723
折	100724
檻	100725
オリエンテーション	100726
折り返す	100727
織物	100728
俺	100729
愚か	100730
おろそか	100731
おんぶ	100732
オンライン	100733
温和	100734
カーペット	100735
～界	100736
改悪	100738
海運	100739
外貨	100740
改革	100741
貝殻	100742
外観	100743
階級	100744
海峡	100745
会見	100746
介護	100747
開催	100748
回収	100749
改修	100750
怪獣	100751
解除	100752
外相	100753
害する	100754
概説	100755
回送	100756
階層	100757
開拓	100758
会談	100759
改定	100760
改訂	100761
ガイド	100762
街道	100763
該当	100764
街頭	100765
ガイドブック	100766
介入	100767
概念	100768
開発	100769
海抜	100770
介抱	100771
解剖	100772
外来	100773
回覧	100774
概略	100775
海流	100776
改良	100777
回路	100778
海路	100779
省みる	100780
顧みる	100781
顔付き	100782
課外	100783
掲げる	100784
かかと	100785
書き取る	100786
掻き回す	100787
かく (はじを)	100788
学芸	100790
格差	100791
拡散	100792
学士	100793
各種	100794
隔週	100795
確信	100796
革新	100797
学説	100798
確定	100799
カクテル	100800
獲得	100801
楽譜	100802
確保	100803
革命	100804
確立	100805
賭	100806
掛～	100807
～掛け	100808
崖	100809
駆け足	100810
家計	100811
駆けっこ	100812
加工	100813
化合	100814
かさばる	100815
かさむ	100816
箇条書	100817
微か	100818
霞む	100819
火星	100820
化石	100821
河川	100822
化繊	100823
過疎	100824
片～	100825
片言	100826
傾ける	100827
固める	100828
傍ら	100829
花壇	100830
家畜	100831
且つ	100832
がっくり	100833
合唱	100834
がっしり	100835
合致	100836
がっちり	100837
かつて	100838
勝手	100839
カット	100840
活発	100841
合併	100842
カテゴリー	100843
叶う	100844
叶える	100845
金槌	100846
かなわない	100847
加入	100848
予て	100849
庇う	100850
株式	100851
かぶれる	100852
花粉	100853
貨幣	100854
構える	100855
過密	100856
噛み切る	100857
カムバック	100858
カメラマン	100859
粥	100860
体付き	100861
絡む	100862
かりに	100863
カルテ	100864
ガレージ	100865
過労	100866
かろうじて	100867
交す	100868
代る代る	100869
簡易	100870
灌漑	100871
眼科	100872
眼球	100873
玩具	100874
簡潔	100875
還元	100876
看護	100877
漢語	100878
頑固	100879
勧告	100880
換算	100881
監視	100882
慣習	100883
観衆	100884
願書	100885
干渉	100886
頑丈	100887
感触	100888
肝心	100889
関税	100891
岩石	100892
感染	100893
幹線	100894
簡素	100895
観点	100896
感度	100897
カンニング	100898
元年	100899
幹部	100900
完ぺき	100901
勘弁	100902
感無量	100903
勧誘	100904
関与	100905
寛容	100906
元来	100907
観覧	100908
慣例	100909
還暦	100910
貫禄	100911
緩和	100912
議案	100913
危害	100914
企画	100915
規格	100916
着飾る	100917
気兼ね	100918
気軽	100919
危機	100920
聞き取り	100921
効き目	100922
帰京	100923
戯曲	100924
基金	100925
喜劇	100926
議決	100927
棄権	100928
既婚	100929
気障	100930
記載	100931
気質	100932
期日	100933
きしむ	100934
議事堂	100935
記述	100936
気象	100937
傷付く	100938
傷付ける	100939
犠牲	100940
汽船	100941
寄贈	100942
偽造	100943
貴族	100944
議題	100945
鍛える	100946
気立て	100947
きちっと	100948
几帳面	100949
きっかり	100950
きっちり	100951
きっぱり	100952
規定	100953
起点	100954
軌道	100955
技能	100956
規範	100957
気品	100958
気風	100959
起伏	100960
規模	100961
気まぐれ	100962
生真面目	100963
期末	100964
きまりわるい	100965
記名	100966
規約	100967
脚色	100968
逆転	100969
脚本	100970
華奢	100971
客観	100972
キャッチ	100973
キャリア	100974
救援	100975
休学	100976
究極	100977
窮屈	100978
球根	100979
救済	100980
給仕	100981
給食	100982
休戦	100983
宮殿	100984
旧知	100985
窮乏	100986
寄与	100987
強	100988
～狂	100989
驚異	100990
教科	100991
協会	100992
共学	100993
共感	100994
境遇	100995
教訓	100996
強行	100997
強硬	100998
教材	100999
凶作	101000
業者	101001
教習	101002
郷愁	101003
教職	101004
興じる	101005
強制	101006
行政	101007
業績	101008
共存	101009
協定	101010
郷土	101011
脅迫	101012
業務	101013
共鳴	101014
郷里	101015
強烈	101016
共和	101017
局限	101018
極端	101019
居住	101020
拒絶	101021
漁船	101022
漁村	101023
拒否	101024
許容	101025
清らか	101026
きらびやか	101027
義理	101029
切替	101030
気流	101031
切れ目	101032
疑惑	101033
極めて	101034
近眼	101035
緊急	101036
近郊	101037
均衡	101038
禁じる	101039
勤勉	101040
吟味	101041
勤務	101042
禁物	101043
勤労	101044
クイズ	101045
食い違う	101046
空間	101047
空腹	101048
区画	101049
区間	101050
茎	101051
区切り	101052
くぐる	101053
くじ (～をひく)	101054
くじびき	101055
くすぐったい	101056
愚痴	101057
口吟む	101058
嘴	101059
朽ちる	101060
覆す	101061
くっきり	101062
屈折	101063
ぐっと	101064
首飾り	101065
首輪	101066
組み込む	101067
組み合わせる	101068
蔵	101069
グレー	101070
クレーン	101071
玄人	101072
黒字	101073
軍艦	101074
軍事	101075
君主	101076
群集	101077
軍備	101079
軍服	101080
芸	101081
経過	101082
軽快	101083
警戒	101084
敬具	101085
軽減	101086
掲載	101087
傾斜	101088
形成	101089
形勢	101090
軽率	101091
刑罰	101092
経費	101093
警部	101094
転換	101095
転居	101096
転勤	101097
点検	101098
電源	101099
天国	101100
天才	101101
天災	101102
展示	101103
伝説	101104
点線	101105
転じる	101106
転ずる	101107
天体	101108
伝達	101109
天地	101110
てんで	101111
転任	101112
展望	101113
伝来	101114
転落	101115
問い合わせる	101116
当～	101117
胴	101118
同意	101119
動員	101120
同感	101121
陶器	101122
討議	101123
動機	101124
等級	101125
同級	101126
同居	101127
登校	101128
統合	101129
動向	101130
投資	101131
同情	101132
道場	101133
統制	101134
当選	101135
逃走	101136
統率	101137
到達	101138
統治	101139
仕切る	101140
資金	101141
軸	101142
しくじる	101143
仕組	101144
死刑	101145
湿気る	101146
施行	101147
思考	101148
志向	101149
嗜好	101150
事項	101151
時刻表	101152
地獄	101153
時差	101154
自在	101155
視察	101156
資産	101157
支持	101158
自主	101159
自首	101160
刺繍	101161
辞職	101162
雫	101163
システム	101164
沈める	101165
施設	101166
事前	101167
子息	101168
持続	101169
自尊心	101170
慕う	101171
下心	101172
下地	101173
親しむ	101174
下調べ	101175
愛想	101176
間柄	101177
合間	101178
敢えて	101179
仰ぐ	101180
垢	101181
赤字	101182
明かす	101183
赤らむ	101184
上がり	101185
諦め	101186
アクセル	101187
あくどい	101188
顎	101189
憧れ	101190
麻	101191
あざ	101192
浅ましい	101193
欺く	101194
鮮やか	101195
嘲笑う	101196
悪しからず	101197
味わい	101198
焦る	101199
あせる (こえが～)	101200
値する	101201
悪化	101202
扱い	101203
呆気ない	101204
あっさり	101205
斡旋	101206
圧倒	101207
圧迫	101208
あつらえる	101209
圧力	101210
当て	101211
～宛	101212
当て字	101213
跡継ぎ	101214
後回し	101215
油絵	101216
アプローチ	101217
あべこべ	101218
甘える	101219
雨具	101220
甘口	101221
アマチュア	101222
網	101223
操る	101224
危ぶむ	101225
あやふや	101226
過ち	101227
誤る	101228
歩み	101229
歩む	101230
予め	101231
荒らす	101232
争い	101233
改まる	101234
荒っぽい	101235
アラブ	101236
霰	101237
有り様	101238
ありのまま	101239
ありふれる	101240
アルカリ	101241
アルミ	101242
アワー	101243
合わす	101244
～合せ	101245
アンコール	101246
暗殺	101247
暗算	101248
暗示	101249
案じる	101250
安静	101251
案の定	101252
いい加減	101253
言い訳	101254
イェス	101255
家出	101256
生かす	101257
いかに	101258
いかにも	101259
異議	101260
生き甲斐	101261
行き違い	101262
意気込む	101263
育成	101264
幾多	101265
(花を〜) 生ける, 活ける	101266
異見	101267
意向	101268
移行	101269
いざ	101270
移住	101271
衣装	101272
いじる	101273
異性	101274
遺跡	101275
依存	101276
委託	101277
いたって	101278
出世	101279
出題	101280
出動	101281
出費	101282
出品	101283
主導	101284
主任	101285
首脳	101286
守備	101287
手法	101288
樹木	101289
樹立	101290
準急	101291
準じる	101292
～署	101293
～症	101294
～証	101295
～嬢	101296
上位	101297
上演	101298
城下	101299
消去	101300
上空	101301
衝撃	101302
証言	101303
証拠	101304
照合	101305
詳細	101306
上昇	101307
昇進	101308
称する	101309
情勢	101310
消息	101311
承諾	101312
情緒	101313
象徴	101314
小児科	101315
使用人	101316
情熱	101317
譲歩	101318
条約	101319
勝利	101320
上陸	101321
蒸溜	101322
奨励	101323
ショー	101324
除外	101325
職員	101326
植民地	101327
職務	101328
諸君	101329
助言	101330
徐行	101331
所在	101332
所持	101333
所属	101334
処置	101335
しょっちゅう	101336
所定	101337
所得	101338
処罰	101339
初版	101340
書評	101341
処分	101342
庶民	101343
庶務	101344
所有	101345
調べ	101346
自立	101347
記す	101348
指令	101349
陣	101351
進化	101352
人格	101353
審議	101354
新婚	101355
審査	101356
人材	101357
紳士	101358
真実	101359
信者	101360
真珠	101361
進出	101362
心情	101363
新人	101364
神聖	101365
親善	101366
真相	101367
迅速	101368
人体	101369
新築	101370
心中	101371
進呈	101372
進展	101373
神殿	101374
進度	101375
振動	101376
新入生	101377
信任	101378
神秘	101379
辛抱	101380
人民	101381
侵略	101382
診療	101383
粋	101384
水源	101385
推進	101386
吹奏	101387
推測	101388
水田	101389
推理	101390
数詞	101391
崇拝	101392
据え付ける	101393
据える	101394
すがすがしい	101395
救い	101396
すくう (みずを～)	101397
健やか	101398
濯ぐ	101399
進み	101400
裾	101401
スタジオ	101402
スチーム	101403
ストライキ	101404
スト	101405
ストロー	101406
ストロボ	101407
すばしこい	101408
素早い	101409
ずばり	101410
スプリング	101411
スペース	101412
ずぶぬれ	101413
スポーツカー	101414
澄ます	101415
済ます	101417
すみやか	101418
スラックス	101419
ずらっと	101420
ずるずる	101421
ずれ	101422
すれちがい	101423
擦れる	101424
すんなり	101425
生育	101426
成果	101428
正解	101429
正義	101430
生計	101431
政権	101432
星座	101433
制裁	101434
政策	101435
生死	101436
静止	101437
誠実	101438
成熟	101439
青春	101440
清純	101441
聖書	101442
正常	101443
制する	101444
整然	101445
盛装	101446
盛大	101447
清濁	101448
制定	101449
静的	101450
製鉄	101451
晴天	101452
正当	101453
制服	101454
征服	101455
製法	101456
精密	101457
税務署	101458
制約	101459
勢力	101460
整列	101461
セール	101462
急かす	101463
伜	101464
責務	101465
セクション	101466
世辞	101467
世帯	101468
是正	101469
世代	101470
切開	101471
セックス	101472
切実	101473
接触	101474
接続詞	101475
設置	101476
折衷	101477
設定	101478
説得	101479
切ない	101480
絶版	101481
設立	101482
攻め	101483
ゼリー	101484
セレモニー	101485
世論	101486
繊維	101487
全快	101488
宣教	101489
宣言	101490
戦災	101491
専修	101492
戦術	101493
センス	101494
潜水	101495
全盛	101496
先代	101497
先だって	101498
先着	101499
前提	101500
先天的	101501
前途	101502
戦闘	101503
潜入	101504
船舶	101505
全滅	101506
専用	101507
占領	101508
善良	101509
戦力	101510
前例	101511
相応	101512
総会	101513
創刊	101514
雑木	101515
早急	101516
増強	101517
送金	101518
走行	101519
総合	101520
捜索	101521
蔵相	101522
装飾	101523
増進	101524
相対	101525
壮大	101526
騒動	101527
遭難	101528
相場	101529
装備	101530
創立	101531
添える	101532
ソース	101533
即座に	101534
促進	101535
即する	101536
束縛	101537
側面	101538
損う	101539
そこら	101540
素材	101541
阻止	101542
訴訟	101543
育ち	101544
措置	101545
ソックス	101546
素っ気無い	101547
外方	101548
備え付ける	101549
備わる	101550
聳える	101552
素朴	101553
背く	101554
染まる	101555
染める	101556
そらす	101557
そり (～にのる)	101558
それゆえ	101559
ソロ	101560
揃い	101561
ぞんざい	101562
損失	101563
存続	101564
ダース	101565
対応	101566
退化	101567
大概	101568
体格	101569
大金	101570
待遇	101571
対決	101572
体験	101573
対抗	101574
退治	101575
大衆	101576
対処	101577
退職	101578
題する	101579
態勢	101580
対談	101581
大胆	101582
対等	101583
台無し	101584
滞納	101585
対比	101586
タイピスト	101587
大部	101588
大便	101589
代弁	101590
待望	101591
台本	101592
タイマー	101593
怠慢	101594
タイミング	101595
タイム	101596
タイムリー	101597
対面	101598
代用	101599
体力	101600
タイル	101601
対話	101602
耐える	101603
絶える	101605
断える	101606
打開	101607
焚火	101608
妥協	101609
たくましい	101610
巧み	101611
丈	101612
打撃	101613
妥結	101614
駄作	101615
足し算	101616
多数決	101617
助け	101618
携わる	101619
漂う	101620
立ち去る	101621
立ち寄る	101622
抱っこ	101623
達者	101624
脱出	101625
脱する	101626
達成	101627
脱退	101628
だったら	101629
立て替える	101630
建前	101631
奉る	101632
だと	101633
他動詞	101634
辿り着く	101635
辿る	101636
束ねる	101637
だぶだぶ	101638
他方	101639
多忙	101640
給う	101641
魂	101642
溜まり	101643
賜る	101644
保つ	101645
たやすい	101646
多様	101647
だるい	101648
弛み	101649
弛む	101650
垂れる	101651
タレント	101652
タワー	101653
単一	101654
短歌	101655
担架	101656
短気	101657
団結	101658
探検	101659
断言	101660
短縮	101661
断然	101662
炭素	101663
短大	101664
単調	101665
単独	101666
旦那	101667
短波	101668
蛋白質	101669
ダンプ	101670
断面	101671
弾力	101672
治安	101673
チームワーク	101674
チェンジ	101675
違える	101676
畜産	101677
畜生	101678
蓄積	101679
地形	101680
知性	101681
乳	101682
縮まる	101683
秩序	101684
窒息	101685
知的	101686
着手	101687
着色	101688
着席	101689
着目	101690
着陸	101691
着工	101692
茶の間	101693
茶の湯	101694
ちやほや	101695
チャンネル	101696
宙返り	101697
中継	101698
忠告	101699
中傷	101700
中枢	101701
抽選	101702
中断	101703
中毒	101704
中腹	101705
中立	101706
中和	101707
～著	101708
腸	101709
蝶	101710
超	101711
調印	101712
聴覚	101713
長官	101714
聴講	101715
徴収	101716
聴診器	101717
調停	101718
重複	101719
長編	101720
重宝	101721
調理	101722
調和	101723
ちょくちょく	101724
直面	101725
著書	101726
貯蓄	101727
直感	101728
著名	101729
ちらっと	101730
塵取り	101731
賃金	101732
沈殿	101733
沈没	101734
沈黙	101735
陳列	101736
追及	101737
追跡	101738
追放	101739
費やす	101740
墜落	101741
痛感	101742
通常	101743
痛切	101744
杖	101745
使い道	101746
仕える	101747
司る	101748
つかの間	101749
月並	101750
継目	101751
尽きる	101752
尽くす	101753
つくづく	101754
作り	101755
繕う	101757
付け加える	101758
告げる	101759
つじつま (はなしの～)	101760
筒	101761
突っ突く	101762
謹む	101763
突っ張る	101764
務まる	101765
勤め先	101766
努めて	101767
津波	101768
つねる	101769
募る	101770
唾	101771
呟く	101772
つぶら	101773
つぶる (めを～)	101774
壷	101775
蕾	101776
連なる	101777
貫く	101778
連ねる	101779
釣り鐘	101780
吊り革	101781
手当	101782
定義	101783
提供	101784
提携	101785
体裁	101786
提示	101787
ティシュペーパー	101788
定食	101789
訂正	101790
停滞	101791
邸宅	101792
定年	101793
堤防	101794
手遅れ	101795
でかい	101796
手掛かり	101797
手掛ける	101798
手数	101799
手軽	101800
適応	101801
適宜	101802
適性	101803
できもの	101804
手際	101805
出くわす	101806
手順	101807
手錠	101808
デコレーション	101809
手近	101810
てっきり	101811
鉄鋼	101812
デッサン	101813
徹する	101814
てっぺん	101815
鉄棒	101816
出直し	101817
掌	101818
手配	101819
手筈	101820
手引	101821
手本	101822
手回し	101823
手元	101824
デモンストレーション	101825
照り返す	101826
テレックス	101827
手分け	101828
天	101829
田園	101830
天下	101831
転回	101832
連休	101833
レンジ	101834
連日	101835
連帯	101836
レンタカー	101837
連中	101838
レントゲン	101839
連邦	101840
連盟	101841
老衰	101842
朗読	101843
浪費	101844
労力	101845
ロープウエイ	101846
ロープ	101847
ろくな	101848
露骨	101849
ロマンチック	101850
論議	101851
論理	101852
惑星	101853
技	101854
わざわざ	101855
煩わしい	101856
渡り鳥	101857
ワット	101858
詫び	101859
和文	101860
藁	101861
～割	101862
割当	101863
割込む	101864
悪者	101865
捗る	101866
はかない	101867
ばかばかしい	101868
破棄	101869
剥ぐ	101870
迫害	101871
薄弱	101872
白状	101873
漠然	101874
爆弾	101875
爆破	101876
暴露	101877
励ます	101878
励む	101879
剥げる	101880
化ける	101881
派遣	101882
恥	101883
パジャマ	101884
恥じらう	101885
恥じる	101886
橋渡し	101887
弾む	101888
破損	101889
裸足	101890
果たす	101891
蜂蜜	101892
パチンコ	101893
罰	101894
発育	101895
発芽	101896
発掘	101897
発言	101898
バッジ	101899
発生	101900
仕立てる	101901
下取り	101902
下火	101903
実家	101904
失格	101905
質疑	101906
失脚	101907
実業家	101908
シック	101909
じっくり	101910
躾	101911
躾ける	101912
実践	101913
質素	101914
実態	101915
失調	101916
嫉妬	101917
実費	101918
指摘	101919
自転	101920
助動詞	101921
淑やか	101922
萎びる	101923
シナリオ	101924
しなやか	101925
屎尿	101926
地主	101927
凌ぐ	101928
芝	101929
始発	101930
耳鼻科	101931
私物	101932
しぶとい	101933
司法	101934
始末	101935
染みる	101936
使命	101937
地元	101938
視野	101939
弱	101940
社交	101941
